age,salary,savings,risk_profile,goal,goal_amount,years_to_goal,selected_instrument,outcome
42,88031,488181,Medium,Emergency Fund,8552892,13,RD,Partial
44,51632,292552,Medium,Buy a House,4058626,23,Debt Mutual Fund,Partial
31,99550,449206,Low,Child Education,8122530,11,Balanced Mutual Fund,Success
28,146253,91262,Medium,Child Education,4727535,9,PPF,Failed
22,93731,113669,Medium,Retirement,4863042,25,PPF,Success
31,131535,48207,Low,Travel Abroad,7904195,7,Gold ETF,Partial
58,96145,24443,Low,Tax Saving,9861427,21,ELSS Mutual Fund,Success
40,96431,81390,Medium,Child Education,1513630,25,PPF,Success
49,42660,229700,Low,Emergency Fund,2587293,18,RD,Partial
40,62956,368133,Medium,Buy a House,8529406,2,PPF,Success
54,96844,486035,Medium,Retirement,5638077,24,PPF,Failed
52,117297,255770,High,Retirement,7993922,14,Equity Mutual Fund,Partial
44,136893,340038,High,Tax Saving,2646311,14,ELSS Mutual Fund,Success
32,27192,386300,High,Child Education,5618315,18,Balanced Mutual Fund,Success
60,51826,304895,Low,Retirement,4150706,18,NPS,Success
40,87949,114846,High,Buy a House,839270,19,PPF,Success
52,89278,183812,Medium,Travel Abroad,1329133,4,Savings Account,Partial
22,64042,282189,Medium,Tax Saving,8569069,20,PPF,Partial
43,89550,152828,High,Child Education,3564494,14,PPF,Partial
26,36724,60623,Medium,Buy a House,2801737,1,Debt Mutual Fund,Partial
43,39407,221879,High,Emergency Fund,1180447,9,Savings Account,Success
31,82411,432717,High,Car Purchase,1394537,1,FD,Success
38,126473,117985,Medium,Child Education,377827,10,Sukanya Samriddhi,Partial
41,105166,269591,High,Tax Saving,7000555,3,ULIP,Success
34,48419,311851,Low,Tax Saving,2434253,16,ULIP,Success
43,35786,100223,Medium,Buy a House,4646325,20,FD,Success
40,71652,292694,High,Retirement,1268745,14,Equity Mutual Fund,Success
55,113500,167148,High,Emergency Fund,1518940,1,RD,Success
41,128006,62928,High,Child Education,9215664,16,PPF,Success
44,133441,240598,High,Travel Abroad,5567887,5,Debt Mutual Fund,Success
44,131043,370678,Low,Retirement,2501501,8,Equity Mutual Fund,Success
43,54242,209657,Low,Travel Abroad,8582715,8,Gold ETF,Partial
52,96831,297734,High,Tax Saving,6264173,13,PPF,Success
32,51745,466283,Medium,Car Purchase,1793709,11,Debt Mutual Fund,Success
41,68097,205816,High,Buy a House,7150812,12,PPF,Partial
55,28004,306032,High,Retirement,7336732,3,Equity Mutual Fund,Partial
48,43437,221328,High,Buy a House,2968293,21,Debt Mutual Fund,Success
37,93778,414973,Low,Retirement,3571504,15,NPS,Success
57,61299,285506,Low,Child Education,1058412,17,PPF,Success
42,137313,411769,Low,Travel Abroad,9062213,9,Gold ETF,Failed
30,28491,82763,Medium,Retirement,7119179,20,PPF,Success
55,149601,174528,Medium,Tax Saving,1334201,22,ULIP,Success
58,126376,235646,Low,Child Education,7828101,23,Balanced Mutual Fund,Success
57,60706,299640,High,Travel Abroad,1375430,16,Savings Account,Partial
28,40395,234111,Medium,Tax Saving,2017690,21,PPF,Partial
45,33242,361664,Medium,Retirement,1462733,12,Equity Mutual Fund,Success
22,129509,11720,Low,Retirement,3883348,8,NPS,Partial
60,41556,11891,Medium,Tax Saving,2363850,6,PPF,Partial
38,122280,261965,Medium,Travel Abroad,1738543,10,Gold ETF,Success
36,103509,271495,Medium,Retirement,725135,17,PPF,Success
59,103348,483052,Low,Buy a House,5520958,9,Debt Mutual Fund,Success
40,79646,345692,Low,Travel Abroad,8756427,5,Gold ETF,Failed
41,92785,215023,Low,Car Purchase,3512218,14,FD,Failed
28,46425,213508,Medium,Tax Saving,1526472,25,ELSS Mutual Fund,Partial
49,75465,15952,High,Buy a House,2748094,11,FD,Partial
46,26072,351885,Medium,Car Purchase,7933133,7,Debt Mutual Fund,Success
34,83708,334565,Low,Child Education,861497,5,Balanced Mutual Fund,Success
25,60053,325893,High,Emergency Fund,2217465,3,RD,Partial
24,29963,291257,High,Travel Abroad,3204954,14,Gold ETF,Partial
34,71690,125867,Medium,Travel Abroad,8428619,5,Debt Mutual Fund,Partial
57,77507,469180,Medium,Child Education,686008,17,PPF,Success
33,116253,361130,Medium,Car Purchase,881318,14,FD,Success
33,147313,205076,Medium,Buy a House,8456581,24,PPF,Success
37,95443,478846,Medium,Buy a House,2586122,4,PPF,Success
33,118279,369904,Low,Buy a House,7955815,1,PPF,Partial
59,45630,487440,Low,Travel Abroad,1520907,5,Debt Mutual Fund,Success
27,78797,282536,High,Retirement,9078280,14,NPS,Partial
56,35403,352164,High,Car Purchase,9824229,1,RD,Success
29,116433,144129,Medium,Car Purchase,2574247,8,Debt Mutual Fund,Success
47,95688,18632,High,Retirement,3545703,17,NPS,Success
52,30896,363925,High,Travel Abroad,4151029,19,Savings Account,Success
39,132866,452759,Low,Emergency Fund,9295426,18,Liquid Mutual Fund,Success
40,30034,284549,Medium,Travel Abroad,1139261,6,Savings Account,Success
43,106246,355298,Low,Child Education,4541226,10,Sukanya Samriddhi,Partial
40,108694,409428,Medium,Buy a House,5410328,4,Debt Mutual Fund,Success
56,118817,343505,Low,Retirement,8282201,10,PPF,Success
52,33328,42058,Low,Emergency Fund,1381170,22,Liquid Mutual Fund,Success
56,102725,236820,High,Buy a House,4403559,24,PPF,Partial
48,68586,111321,Low,Tax Saving,9160427,12,ELSS Mutual Fund,Success
59,141226,474926,Medium,Buy a House,4732071,19,FD,Success
27,95207,126458,Medium,Buy a House,7594602,1,FD,Success
39,134130,474532,Medium,Travel Abroad,9239278,5,Debt Mutual Fund,Success
57,44189,109104,Medium,Emergency Fund,131726,6,Savings Account,Success
49,88217,403963,Low,Emergency Fund,418591,25,Liquid Mutual Fund,Failed
35,115015,448058,High,Emergency Fund,3852026,10,Liquid Mutual Fund,Failed
29,37376,296345,Medium,Car Purchase,4126988,2,FD,Success
59,94272,52621,Medium,Car Purchase,9578824,18,Debt Mutual Fund,Success
51,115986,320831,Medium,Child Education,7105628,10,Sukanya Samriddhi,Success
25,43867,490438,Medium,Retirement,5045838,1,NPS,Partial
25,112833,451238,High,Child Education,5821303,16,PPF,Partial
56,99785,341957,Low,Car Purchase,6932895,14,FD,Failed
50,109173,236922,Medium,Buy a House,2046756,23,Debt Mutual Fund,Partial
43,97302,94153,Medium,Emergency Fund,7706661,13,RD,Success
39,79170,182160,Medium,Tax Saving,2871969,17,PPF,Partial
51,38877,191515,Medium,Car Purchase,8341906,8,RD,Partial
28,85125,26063,High,Retirement,2260861,5,PPF,Failed
47,96861,377227,Medium,Travel Abroad,8981408,7,Savings Account,Success
31,102979,368637,High,Car Purchase,6874209,9,RD,Success
54,87570,74928,Medium,Tax Saving,101640,3,ELSS Mutual Fund,Partial
28,32485,162339,Low,Car Purchase,3140681,2,RD,Success
37,112966,389854,Low,Emergency Fund,3779444,21,Liquid Mutual Fund,Success
50,126401,82370,Low,Child Education,4042222,23,Balanced Mutual Fund,Partial
43,32165,380483,Medium,Travel Abroad,9129317,10,Gold ETF,Failed
38,36044,318697,Low,Emergency Fund,3480226,17,Savings Account,Success
37,45172,73428,High,Retirement,7749631,8,NPS,Success
